what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1337699424682
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1337699424683
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1337699424684
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337699424684
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1337699424705
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337699424706
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1337699424706
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1337699424707
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1337699424707
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1337699424708
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1337699424708
os,sysinfo,,,"win32",1337699424711
arch,sysinfo,,,"x86_64",1337699424711
ws,sysinfo,,,"win32",1337699424711
locale,sysinfo,,,"de_DE",1337699424711
processors,sysinfo,,,"8",1337699424711
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337699424711
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1337699424711
java.specification.name,sysinfo,,,"Java Platform API Specification",1337699424711
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337699424711
java.specification.version,sysinfo,,,"1.7",1337699424711
java.vendor,sysinfo,,,"Oracle Corporation",1337699424711
java.version,sysinfo,,,"1.7.0_01",1337699424711
java.vm.info,sysinfo,,,"mixed mode",1337699424711
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337699424711
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337699424711
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337699424711
java.vm.specification.version,sysinfo,,,"1.7",1337699424711
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337699424711
java.vm.version,sysinfo,,,"21.1-b02",1337699424711
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337699425152
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1337699425857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699426674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699482626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337699484366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699486798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699555242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337699556887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337699557910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699558678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699559885
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699560013
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1337699560481
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1337699560488
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1337699582019
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1337699582021
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1337699582021
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1337699582022
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1337699582022
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1337699582023
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1337699582023
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1337699582024
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1337699582024
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1337699582025
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1337699582026
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1337699582026
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1337699582027
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1337699582027
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1337699582028
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1337699582028
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1337699582029
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1337699582030
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1337699582030
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1337699582031
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1337699582031
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1337699582032
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1337699582032
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1337699582033
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1337699582033
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1337699582033
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1337699582034
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1337699582035
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1337699582035
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1337699582036
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1337699582036
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1337699582037
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1337699582037
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1337699582037
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1337699582038
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1337699582038
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1337699582039
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1337699582039
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1337699582040
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1337699582040
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1337699582041
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1337699582042
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1337699582042
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1337699582043
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1337699582043
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1337699582046
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1337699582047
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1337699582047
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1337699582047
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1337699582048
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1337699582048
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1337699582049
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1337699582049
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1337699582050
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1337699582050
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1337699582050
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1337699582050
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1337699582051
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1337699582051
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1337699582052
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1337699582052
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1337699582053
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1337699582053
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1337699582054
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1337699582054
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1337699582055
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1337699582056
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1337699582057
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1337699582058
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1337699582058
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1337699582058
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1337699582059
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1337699582060
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1337699582060
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1337699582061
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1337699582061
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1337699582061
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1337699582062
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337699582063
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1337699582064
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337699582064
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1337699582064
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1337699582065
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1337699582065
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1337699582066
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1337699582066
os,sysinfo,,,"win32",1337699582069
arch,sysinfo,,,"x86_64",1337699582069
ws,sysinfo,,,"win32",1337699582069
locale,sysinfo,,,"de_DE",1337699582069
processors,sysinfo,,,"8",1337699582069
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337699582069
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1337699582069
java.specification.name,sysinfo,,,"Java Platform API Specification",1337699582069
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337699582069
java.specification.version,sysinfo,,,"1.7",1337699582069
java.vendor,sysinfo,,,"Oracle Corporation",1337699582069
java.version,sysinfo,,,"1.7.0_01",1337699582069
java.vm.info,sysinfo,,,"mixed mode",1337699582069
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337699582069
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337699582069
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337699582069
java.vm.specification.version,sysinfo,,,"1.7",1337699582069
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337699582069
java.vm.version,sysinfo,,,"21.1-b02",1337699582069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699584075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699603658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699604946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699706020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699706402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699706503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699706938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699795141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699795526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699811425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699812188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699886282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337699886772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337700002091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337700002592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337700820157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337700820682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337702813657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337702814513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337702844501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337702844945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337702968499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337702968983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337703211181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337703211611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337704394469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337704395064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337704783069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337704783783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337705053812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337705054430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337706816228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337706817524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337708434464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337708434974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337710775798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337710776656
